,precision,recall,f1-score,support
Aloe Vera Disease,1.0,1.0,1.0,11.0
Aloe Vera Dried,1.0,1.0,1.0,9.0
Aloe Vera Mature Healthy,1.0,1.0,1.0,9.0
Aloe Vera Young Healthy,1.0,1.0,1.0,8.0
Azadirachta Indica Chlorotic,0.8,0.8889,0.8421,18.0
Azadirachta Indica Disease,0.8667,0.7222,0.7879,18.0
Azadirachta Indica Healthy,0.9583,1.0,0.9787,23.0
Hibiscus Rosa Sinensis Chlorotic,1.0,1.0,1.0,12.0
Hibiscus Rosa Sinensis Disease,1.0,0.6667,0.8,9.0
Hibiscus Rosa Sinensis Healthy,0.9091,1.0,0.9524,10.0
Kalanchoe Pinnata Chlorotic,0.9,1.0,0.9474,9.0
Kalanchoe Pinnata Disease,0.8182,0.8182,0.8182,11.0
Kalanchoe Pinnata Healthy,0.8889,1.0,0.9412,8.0
Piper Betle Chlorotic,0.9444,1.0,0.9714,17.0
Piper Betle Disease,1.0,0.9333,0.9655,15.0
Piper Betle Healthy,1.0,1.0,1.0,13.0
accuracy,0.935,0.935,0.935,0.935
macro avg,0.9429,0.9393,0.9378,200.0
weighted avg,0.937,0.935,0.9331,200.0
